userid, password,residence_state, high_school_name, high_school_city, high_school_state,GPA, college_class,major_1,major_2, SAT_math, SAT_EBRW, ACT_English, ACT_math, ACT_reading, ACT_science, ACT_composite, SAT_literature, SAT_US_hist, SAT_world_hist, SAT_math_I, SAT_math_II, SAT_eco_bio, SAT_mol_bio, SAT_chemistry, SAT_physics,num_AP_passed
user1,Password!1,MN,Eagan Senior High School,Eagan,MN,3.5,2027,Liberal Arts and Sciences/Liberal Studies,,650,620,21,22,29,24,24,,,,,,,,,,1
user2,Password!2,WA,Bellevue High School,Bellevue,WA,3.5,2024,"Sales, Distribution, and Marketing Operations",,680,630,23,24,18,27,23,,,,,,,,,,1
user3,Password!3,GA,Walton High School,Marietta,GA,3.4,2025,Army JROTC/ROTC,,740,520,21,26,26,29,26,,,,,,,,,,1
user4,Password!4,GA,Walton High School,Marietta,GA,3.7,2026,Painting,,680,660,30,22,28,24,26,,,,,,,,,,2
user5,Password!5,TX,Carroll Senior High School,Southlake,TX,3.4,2026,Agricultural Engineering,,680,520,23,24,27,27,25,,,,,,,,,,1
user6,Password!6,MI,International Academy,Bloomfield Hills,MI,3.6,2024,Bible/Biblical Studies,,690,590,24,22,28,24,25,,,,,,,,,,1
user7,Password!7,WI,Whitefish Bay High School,Whitefish Bay,WI,3.7,2025,Technology Teacher Education/Industrial Arts Teacher Education,,680,610,28,23,21,26,25,,,,,,,,,,2
user8,Password!8,CO,Fairview High School,Boulder,CO,3.6,2024,Customer Service Management,,680,610,24,23,25,26,25,,,,,,,,,,1
user9,Password!9,NM,Volcano Vista High School,Albuquerque,NM,3.5,2026,Substance Abuse/Addiction Counseling,,520,700,27,25,25,25,26,,,,,,,,,,1
user10,Password!10,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.6,2026,Pre-Theology/Pre-Ministerial Studies,,690,700,24,28,24,25,25,,,,,,,,,,2
user11,Password!11,MI,International Academy,Bloomfield Hills,MI,3.7,2025,Hotel/Motel Administration/Management,,610,650,21,29,24,26,25,,,,,,,,,,2
user12,Password!12,NY,Brooklyn Technical High School,Brooklyn,NY,3.3,2025,Humanities/Humanistic Studies,,660,660,26,23,24,27,25,,,,,,,,,,2
user13,Password!13,MN,Eagan Senior High School,Eagan,MN,3.3,2026,"Wildlife, Fish and Wildlands Science and Management",,580,700,24,24,23,24,24,,,,,,,,,,2
user14,Password!14,PA,Radnor Senior High School,Radnor,PA,3.6,2026,Botany/Plant Biology,,680,680,28,25,27,27,27,,,,,,,,,,1
user15,Password!15,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2027,Teaching English as a Second or Foreign Language/ESL Language Instructor,,640,600,27,20,23,24,24,,,,,,,,,,2
user16,Password!16,KS,Blue Valley North High School,Overland Park,KS,3.4,2025,Clinical/Medical Laboratory Technician,,600,610,25,25,29,29,27,,,,,,,,,,2
user17,Password!17,SC,Academic Magnet High School,North Charleston,SC,3.5,2024,Industrial Engineering,,640,610,23,24,24,30,25,,,,,,,,,,1
user18,Password!18,KS,Blue Valley North High School,Overland Park,KS,3.4,2024,Astronomy and Astrophysics,,760,680,23,25,23,21,23,,,,,,,,,,2
user19,Password!19,MA,Lexington High School,Lexington,MA,3.5,2024,Web/Multimedia Management and Webmaster,,690,710,25,26,20,24,24,,,,,,,,,,2
user20,Password!20,MI,International Academy,Bloomfield Hills,MI,3.3,2025,Pastoral Studies/Counseling,,710,590,27,28,27,23,26,,,,,,,,,,2
user21,Password!21,NH,Hanover High School,Hanover,NH,3.6,2026,Physical Therapy/Therapist,,730,690,23,25,21,26,24,,,,,,,,,,1
user22,Password!22,TX,Carroll Senior High School,Southlake,TX,3.4,2027,Biology/Biological Sciences,,620,700,27,24,23,24,25,,,,,,,,,,1
user23,Password!23,SC,Academic Magnet High School,North Charleston,SC,3.6,2027,Music,,660,680,20,20,22,24,22,,,,,,,,,,1
user24,Password!24,CA,Canyon Crest Academy,San Diego,CA,3.4,2025,Ancient Studies/Civilization,,710,630,23,27,20,26,24,,,,,,,,,,2
user25,Password!25,NM,Volcano Vista High School,Albuquerque,NM,3.6,2027,Anthropology,,660,680,24,30,24,22,25,,,,,,,,,,1
user26,Password!26,MN,Eagan Senior High School,Eagan,MN,3.4,2024,Crisis/Emergency/Disaster Management,,640,610,23,29,25,26,26,,,,,,,,,,1
user27,Password!27,MO,Parkway Central High School,Chesterfield,MO,3.5,2024,Artificial Intelligence,,630,590,21,24,22,24,23,,,,,,,,,,2
user28,Password!28,VA,McLean High School,McLean,VA,3.6,2024,Medical Illustration/Medical Illustrator,,650,680,23,22,27,30,26,,,,,,,,,,2
user29,Password!29,CA,Canyon Crest Academy,San Diego,CA,3.4,2024,Pre-Pharmacy Studies,,660,690,24,24,25,24,24,,,,,,,,,,2
user30,Password!30,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.4,2025,Animal Behavior and Ethology,,660,630,23,24,26,24,24,,,,,,,,,,1
user31,Password!31,CO,Fairview High School,Boulder,CO,3.4,2024,Advertising,,680,720,28,27,27,22,26,,,,,,,,,,1
user32,Password!32,VA,McLean High School,McLean,VA,3.5,2026,Health and Physical Education/Fitness,,630,740,24,23,26,23,24,,,,,,,,,,1
user33,Password!33,NC,North Carolina School of Science and Mathematics,Durham,NC,3.5,2024,Evolutionary Biology,,650,690,24,22,26,27,25,,,,,,,,,,2
user34,Password!34,GA,Walton High School,Marietta,GA,3.5,2027,General Literature,,670,680,29,23,26,26,26,,,,,,,,,,2
user35,Password!35,MN,Eagan Senior High School,Eagan,MN,3.6,2025,Robotics Technology/Technician,,670,700,26,24,27,24,25,,,,,,,,,,2
user36,Password!36,AZ,BASIS Tucson North,Tucson,AZ,3.4,2025,Foreign Languages and Literatures,,690,680,30,23,23,24,25,,,,,,,,,,2
user37,Password!37,PA,Radnor Senior High School,Radnor,PA,3.5,2027,Business Administration and Management,,670,690,18,22,24,29,23,,,,,,,,,,1
user38,Password!38,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.5,2027,Religion/Religious Studies,,580,690,24,24,24,29,25,,,,,,,,,,2
user39,Password!39,NH,Hanover High School,Hanover,NH,3.4,2025,Health Teacher Education,,590,690,22,23,26,20,23,,,,,,,,,,2
user40,Password!40,NJ,Academy for Information Technology,Scotch Plains,NJ,3.8,2025,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,,640,630,26,21,27,26,25,,,,,,,,,,1
user41,Password!41,MA,Lexington High School,Lexington,MA,3.6,2027,Divinity/Ministry,,620,690,24,27,27,26,26,,,,,,,,,,1
user42,Password!42,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2026,Communication and Media Studies,,640,620,24,22,27,23,24,,,,,,,,,,1
user43,Password!43,AR,Haas Hall Academy,Fayetteville,AR,3.6,2025,Mass Communication/Media Studies,,610,700,27,24,29,27,27,,,,,,,,,,2
user44,Password!44,VA,McLean High School,McLean,VA,3.5,2024,Office Management and Supervision,,590,560,24,29,22,27,26,,,,,,,,,,1
user45,Password!45,MN,Eagan Senior High School,Eagan,MN,3.4,2024,Agribusiness/Agricultural Business Operations,,650,680,29,27,30,21,27,,,,,,,,,,2
user46,Password!46,KY,The Gatton Academy,Bowling Green,KY,3.7,2025,Computer Systems Analysis/Analyst,,660,610,24,28,28,22,26,,,,,,,,,,1
user47,Password!47,NH,Hanover High School,Hanover,NH,3.5,2027,Applied Mathematics,,700,690,29,24,23,27,26,,,,,,,,,,2
user48,Password!48,MI,International Academy,Bloomfield Hills,MI,3.7,2024,Digital Communication and Media/Multimedia,,640,630,25,23,24,24,24,,,,,,,,,,1
user49,Password!49,PA,Radnor Senior High School,Radnor,PA,3.5,2025,Computer Programming/Programmer,,560,590,26,29,22,26,26,,,,,,,,,,2
user50,Password!50,MO,Parkway Central High School,Chesterfield,MO,3.6,2024,Econometrics and Quantitative Economics,,650,700,26,27,24,28,26,,,,,,,,,,2
user51,Password!51,OH,Madeira High School,Cincinnati,OH,3.6,2024,Design and Applied Arts,,660,690,23,26,22,28,25,,,,,,,,,,1
user52,Password!52,NJ,Academy for Information Technology,Scotch Plains,NJ,3.3,2024,Health/Health Care Administration/Management,,710,610,23,25,23,24,24,,,,,,,,,,1
user53,Password!53,NY,Brooklyn Technical High School,Brooklyn,NY,3.3,2024,Community Health Services/Liaison/Counseling,,660,620,28,22,28,24,26,,,,,,,,,,2
user54,Password!54,AZ,BASIS Tucson North,Tucson,AZ,3.3,2026,Near and Middle Eastern Studies,,660,690,26,24,22,28,25,,,,,,,,,,1
user55,Password!55,AL,Mt Brook High School,Mountain Brook,AL,3.7,2024,Structural Biology,,640,560,29,28,27,23,27,,,,,,,,,,2
user56,Password!56,KY,The Gatton Academy,Bowling Green,KY,3.2,2025,Chemistry,,690,610,24,21,25,21,23,,,,,,,,,,1
user57,Password!57,MO,Parkway Central High School,Chesterfield,MO,3.6,2026,Scandinavian Studies,,660,710,24,21,24,28,24,,,,,,,,,,1
user58,Password!58,KY,The Gatton Academy,Bowling Green,KY,3.3,2027,Logic,,640,740,26,25,23,24,25,,,,,,,,,,2
user59,Password!59,TX,Carroll Senior High School,Southlake,TX,3.5,2027,Systems Science and Theory,,700,630,27,26,29,28,28,,,,,,,,,,2
user60,Password!60,MI,International Academy,Bloomfield Hills,MI,3.4,2024,Curriculum and Instruction,,680,680,22,28,26,26,26,,,,,,,,,,2
user61,Password!61,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.4,2026,Public Policy Analysis,,660,690,28,27,22,22,25,,,,,,,,,,1
user62,Password!62,VA,McLean High School,McLean,VA,3.5,2026,German Studies,,670,690,24,26,26,29,26,,,,,,,,,,1
user63,Password!63,MA,Lexington High School,Lexington,MA,3.4,2024,"Theatre Literature, History and Criticism",,640,660,24,22,20,22,22,,,,,,,,,,2
user64,Password!64,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.3,2024,Dietetics and Clinical Nutrition Services,,690,560,23,23,25,21,23,,,,,,,,,,1
user65,Password!65,PA,Radnor Senior High School,Radnor,PA,3.6,2025,Computer Science,,580,680,26,26,28,28,27,,,,,,,,,,1
user66,Password!66,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2027,Political Science and Government,,760,700,24,24,27,24,25,,,,,,,,,,2
user67,Password!67,PA,Radnor Senior High School,Radnor,PA,3.4,2025,Engineering,,650,580,24,25,28,23,25,,,,,,,,,,1
user68,Password!68,MO,Parkway Central High School,Chesterfield,MO,3.5,2027,Farm/Farm and Ranch Management,,660,580,23,23,27,27,25,,,,,,,,,,1
user69,Password!69,AZ,BASIS Tucson North,Tucson,AZ,3.4,2024,Natural Resources Management and Policy,,630,610,24,27,23,26,25,,,,,,,,,,1
user70,Password!70,MO,Parkway Central High School,Chesterfield,MO,3.3,2026,Psychology,,660,660,24,26,24,22,24,,,,,,,,,,2
user71,Password!71,MO,Parkway Central High School,Chesterfield,MO,3.8,2025,Neurobiology and Anatomy,,590,670,27,26,24,27,26,,,,,,,,,,2
user72,Password!72,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.7,2025,Public Administration and Social Service Professions,,610,700,29,21,30,27,27,,,,,,,,,,1
user73,Password!73,AL,Mt Brook High School,Mountain Brook,AL,3.3,2025,Ancient/Classical Greek Language and Literature,,650,730,26,29,22,26,26,,,,,,,,,,2
user74,Password!74,AZ,BASIS Tucson North,Tucson,AZ,3.4,2024,Hospital and Health Care Facilities Administration/Management,,640,670,26,25,20,24,24,,,,,,,,,,1
user75,Password!75,GA,Walton High School,Marietta,GA,3.6,2024,Audiology/Audiologist,,700,560,30,27,20,30,27,,,,,,,,,,2
user76,Password!76,WI,Whitefish Bay High School,Whitefish Bay,WI,3.6,2024,Wildlife Biology,,710,670,26,25,23,26,25,,,,,,,,,,1
user77,Password!77,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.4,2027,Culinary Science/Culinology,,670,600,29,29,21,28,27,,,,,,,,,,1
user78,Password!78,OH,Madeira High School,Cincinnati,OH,3.6,2026,Cyber/Computer Forensics and Counterterrorism,,660,540,29,25,23,23,25,,,,,,,,,,1
user79,Password!79,AR,Haas Hall Academy,Fayetteville,AR,3.4,2024,Information Resources Management,,640,560,24,24,25,22,24,,,,,,,,,,1
user80,Password!80,NC,North Carolina School of Science and Mathematics,Durham,NC,3.4,2026,Creative Writing,,570,680,26,28,23,25,26,,,,,,,,,,2
user81,Password!81,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.7,2027,Chemical and Biomolecular Engineering,,720,660,20,25,29,27,25,,,,,,,,,,2
user82,Password!82,MI,International Academy,Bloomfield Hills,MI,3.5,2024,Mathematical Biology,,680,710,26,28,20,24,25,,,,,,,,,,2
user83,Password!83,NJ,Academy for Information Technology,Scotch Plains,NJ,3.5,2025,"Water, Wetlands, and Marine Resources Management",,560,680,26,24,26,26,26,,,,,,,,,,1
user84,Password!84,PA,Radnor Senior High School,Radnor,PA,3.4,2026,"System, Networking, and LAN/WAN Management/Manager",,610,690,25,23,26,28,26,,,,,,,,,,2
user85,Password!85,KY,The Gatton Academy,Bowling Green,KY,3.6,2026,Mathematics,,620,590,25,28,27,27,27,,,,,,,,,,2
user86,Password!86,MA,Lexington High School,Lexington,MA,3.4,2024,International Relations and Affairs,,680,610,27,27,23,24,25,,,,,,,,,,2
user87,Password!87,KS,Blue Valley North High School,Overland Park,KS,3.7,2024,Woodwind Instruments,,690,650,23,24,24,25,24,,,,,,,,,,2
user88,Password!88,CA,Canyon Crest Academy,San Diego,CA,3.4,2025,Pre-Veterinary Studies,,660,600,24,26,28,22,25,,,,,,,,,,2
user89,Password!89,VA,McLean High School,McLean,VA,3.9,2027,Atomic/Molecular Physics,,740,660,26,25,28,27,27,,,,,,,,,,1
user90,Password!90,MI,International Academy,Bloomfield Hills,MI,3.7,2024,Communication,,620,590,23,24,25,23,24,,,,,,,,,,1
user91,Password!91,OH,Madeira High School,Cincinnati,OH,3.6,2024,Health/Medical Physics,,670,600,23,24,25,24,24,,,,,,,,,,2
user92,Password!92,MN,Eagan Senior High School,Eagan,MN,3.6,2024,Informatics,,590,630,29,29,24,22,26,,,,,,,,,,1
user93,Password!93,AZ,BASIS Tucson North,Tucson,AZ,3.5,2025,Conservation Biology,,700,630,23,22,22,26,23,,,,,,,,,,1
user94,Password!94,MN,Eagan Senior High School,Eagan,MN,3.6,2025,Drama and Dramatics/Theatre Arts,,590,640,24,25,27,29,26,,,,,,,,,,1
user95,Password!95,AL,Mt Brook High School,Mountain Brook,AL,3.5,2025,Physical Chemistry,,620,680,24,25,24,27,25,,,,,,,,,,2
user96,Password!96,PA,Radnor Senior High School,Radnor,PA,3.7,2025,Agroecology and Sustainable Agriculture,,620,690,30,23,23,27,26,,,,,,,,,,1
user97,Password!97,PA,Radnor Senior High School,Radnor,PA,3.4,2025,Medieval and Renaissance Studies,,680,640,24,26,27,27,26,,,,,,,,,,2
user98,Password!98,WI,Whitefish Bay High School,Whitefish Bay,WI,3.7,2025,Plant Protection and Integrated Pest Management,,650,610,28,26,26,26,27,,,,,,,,,,1
user99,Password!99,MN,Eagan Senior High School,Eagan,MN,3.5,2026,American History,,670,680,18,21,21,24,21,,,,,,,,,,2
user100,Password!100,VA,McLean High School,McLean,VA,3.6,2025,Drama and Dance Teacher Education,,660,640,27,24,20,20,23,,,,,,,,,,1
user101,Password!101,MN,Eagan Senior High School,Eagan,MN,3.4,2026,"Computer Programming, Specific Applications",,650,710,27,24,27,28,27,,,,,,,,,,1
user102,Password!102,AR,Haas Hall Academy,Fayetteville,AR,3.5,2024,Magnetic Resonance Imaging Technology/Technician,,650,700,26,27,28,27,27,,,,,,,,,,1
user103,Password!103,NY,Brooklyn Technical High School,Brooklyn,NY,3.5,2024,Spanish and Iberian Studies,,670,620,26,28,22,24,25,,,,,,,,,,2
user104,Password!104,WI,Whitefish Bay High School,Whitefish Bay,WI,3.4,2024,Health Information/Medical Records Administration/Administrator,,680,680,29,22,22,25,25,,,,,,,,,,2
user105,Password!105,SC,Academic Magnet High School,North Charleston,SC,3.6,2024,Housing and Human Environments,,670,680,23,23,26,26,25,,,,,,,,,,2
user106,Password!106,PA,Radnor Senior High School,Radnor,PA,3.5,2024,Area Studies,,520,650,22,25,26,27,25,,,,,,,,,,1
user107,Password!107,TX,Carroll Senior High School,Southlake,TX,3.5,2026,"Teacher Education, Multiple Levels",,630,660,25,27,24,25,25,,,,,,,,,,2
user108,Password!108,AL,Mt Brook High School,Mountain Brook,AL,3.4,2025,Nutrition Sciences,,580,670,27,28,27,27,27,,,,,,,,,,2
user109,Password!109,AL,Mt Brook High School,Mountain Brook,AL,3.4,2024,Missions/Missionary Studies and Missiology,,680,660,25,24,28,27,26,,,,,,,,,,2
user110,Password!110,SC,Academic Magnet High School,North Charleston,SC,3.4,2024,Geographic Information Science and Cartography,,680,650,23,20,25,24,23,,,,,,,,,,1
user111,Password!111,OH,Madeira High School,Cincinnati,OH,3.4,2025,Development Economics and International Development,,710,660,29,24,27,27,27,,,,,,,,,,1
user112,Password!112,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.4,2024,Microbiology and Immunology,,670,590,23,21,18,24,22,,,,,,,,,,1
user113,Password!113,WA,Bellevue High School,Bellevue,WA,3.5,2027,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics",,660,660,29,26,27,22,26,,,,,,,,,,2
user114,Password!114,OH,Madeira High School,Cincinnati,OH,3.6,2025,Russian Studies,,680,690,20,28,27,22,24,,,,,,,,,,2
user115,Password!115,TX,Carroll Senior High School,Southlake,TX,3.2,2027,General Studies,,520,680,26,22,26,27,25,,,,,,,,,,1
user116,Password!116,WA,Bellevue High School,Bellevue,WA,3.3,2024,Community Psychology,,560,670,24,29,26,27,27,,,,,,,,,,1
user117,Password!117,NY,Brooklyn Technical High School,Brooklyn,NY,3.6,2026,Financial Mathematics,,590,650,26,26,26,27,26,,,,,,,,,,2
user118,Password!118,MA,Lexington High School,Lexington,MA,3.5,2025,Jewish/Judaic Studies,,580,620,23,30,23,28,26,,,,,,,,,,1
user119,Password!119,WA,Bellevue High School,Bellevue,WA,3.5,2025,Environmental Design/Architecture,,590,640,23,26,29,29,27,,,,,,,,,,2
user120,Password!120,AL,Mt Brook High School,Mountain Brook,AL,3.6,2024,Mechanical Engineering,,590,690,22,25,27,29,26,,,,,,,,,,2
user121,Password!121,AL,Mt Brook High School,Mountain Brook,AL,3.6,2024,Pharmacy,,670,730,24,27,25,22,25,,,,,,,,,,2
user122,Password!122,MN,Eagan Senior High School,Eagan,MN,3.7,2025,Financial Planning and Services,,680,700,27,26,26,24,26,,,,,,,,,,2
user123,Password!123,CO,Fairview High School,Boulder,CO,3.4,2024,Atmospheric Sciences and Meteorology,,620,740,28,24,24,28,26,,,,,,,,,,2
user124,Password!124,VA,McLean High School,McLean,VA,3.5,2024,Range Science and Management,,580,680,27,27,26,27,27,,,,,,,,,,1
user125,Password!125,KS,Blue Valley North High School,Overland Park,KS,3.4,2024,Finance,,690,690,22,24,25,26,24,,,,,,,,,,2
user126,Password!126,NY,Brooklyn Technical High School,Brooklyn,NY,3.4,2024,"Hispanic and Latin American Languages, Literatures, and Linguistics",,650,620,27,24,27,24,26,,,,,,,,,,2
user127,Password!127,MO,Parkway Central High School,Chesterfield,MO,3.8,2024,Aircraft Powerplant Technology/Technician,,660,630,25,28,25,22,25,,,,,,,,,,1
user128,Password!128,GA,Walton High School,Marietta,GA,3.4,2026,Computer Software and Media Applications,,690,720,24,20,20,23,22,,,,,,,,,,1
user129,Password!129,NJ,Academy for Information Technology,Scotch Plains,NJ,3.6,2027,"Russian, Central European, East European and Eurasian Studies",,540,620,25,21,28,23,24,,,,,,,,,,1
user130,Password!130,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.6,2027,International Business/Trade/Commerce,,690,590,24,25,18,23,23,,,,,,,,,,1
user131,Password!131,CA,Canyon Crest Academy,San Diego,CA,3.7,2025,Management Information Systems,,590,660,30,28,27,24,27,,,,,,,,,,1
user132,Password!132,IL,Illinois Mathematics and Science Academy,Aurora,IL,3.5,2027,Computational Mathematics,,660,650,29,27,27,23,27,,,,,,,,,,1
user133,Password!133,SC,Academic Magnet High School,North Charleston,SC,3.6,2024,"Germanic Languages, Literatures, and Linguistics",,610,620,23,26,25,25,25,,,,,,,,,,2
user134,Password!134,NH,Hanover High School,Hanover,NH,3.7,2024,Intermedia/Multimedia,,650,600,28,26,29,27,28,,,,,,,,,,2
user135,Password!135,NC,North Carolina School of Science and Mathematics,Durham,NC,3.5,2024,Cytotechnology/Cytotechnologist,,700,670,26,25,25,26,26,,,,,,,,,,2
user136,Password!136,NH,Hanover High School,Hanover,NH,3.5,2025,Photojournalism,,640,690,20,22,25,18,21,,,,,,,,,,1
user137,Password!137,KY,The Gatton Academy,Bowling Green,KY,3.4,2024,Behavioral Sciences,,680,610,18,24,26,28,24,,,,,,,,,,2
user138,Password!138,VA,McLean High School,McLean,VA,3.5,2024,Neurobiology and Neurosciences,,700,690,22,25,27,30,26,,,,,,,,,,2
user139,Password!139,GA,Walton High School,Marietta,GA,3.6,2024,Mental and Social Health Services and Allied Professions,,610,630,25,30,23,28,27,,,,,,,,,,1
user140,Password!140,SC,Academic Magnet High School,North Charleston,SC,3.4,2026,Statistics,,570,680,23,28,27,22,25,,,,,,,,,,1
user141,Password!141,SC,Academic Magnet High School,North Charleston,SC,3.5,2027,Film/Video and Photographic Arts,,660,680,22,22,24,24,23,,,,,,,,,,1
user142,Password!142,VA,McLean High School,McLean,VA,3.5,2027,Theology/Theological Studies,,630,630,30,30,21,27,27,,,,,,,,,,2
user143,Password!143,MO,Parkway Central High School,Chesterfield,MO,3.7,2024,Pre-Physical Therapy Studies,,740,700,22,21,27,23,23,,,,,,,,,,2
user144,Password!144,CA,Canyon Crest Academy,San Diego,CA,3.8,2025,Social and Philosophical Foundations of Education,,650,760,29,23,28,20,25,,,,,,,,,,1
user145,Password!145,WI,Whitefish Bay High School,Whitefish Bay,WI,3.4,2026,Structural Engineering,,660,680,27,24,22,28,25,,,,,,,,,,2
user146,Password!146,NM,Volcano Vista High School,Albuquerque,NM,3.4,2027,Drawing,,680,680,24,23,22,24,23,,,,,,,,,,1
user147,Password!147,KS,Blue Valley North High School,Overland Park,KS,3.5,2024,Fashion/Apparel Design,,660,630,24,26,26,25,25,,,,,,,,,,2
user148,Password!148,GA,Walton High School,Marietta,GA,3.4,2027,Zoology/Animal Biology,,670,650,26,28,26,27,27,,,,,,,,,,1
user149,Password!149,SC,Academic Magnet High School,North Charleston,SC,3.5,2027,"Aerospace, Aeronautical and Astronautical/Space Engineering",,630,600,26,23,22,28,25,,,,,,,,,,2
user150,Password!150,AL,Mt Brook High School,Mountain Brook,AL,3.5,2024,French Language and Literature,,610,690,27,21,24,23,24,,,,,,,,,,1
user151,Password!151,WA,Bellevue High School,Bellevue,WA,3.6,2024,Early Childhood Education and Teaching,,620,740,22,22,26,21,23,,,,,,,,,,2
user152,Password!152,OH,Madeira High School,Cincinnati,OH,3.5,2027,Foreign Language Teacher Education,,570,680,22,28,24,26,25,,,,,,,,,,2
user153,Password!153,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.3,2027,Philosophy,,700,660,27,26,22,22,24,,,,,,,,,,1
user154,Password!154,VA,McLean High School,McLean,VA,3.5,2026,Food Science,,680,660,25,24,27,25,25,,,,,,,,,,1
user155,Password!155,SC,Academic Magnet High School,North Charleston,SC,3.5,2025,Insurance,,740,600,24,29,25,27,26,,,,,,,,,,1
user156,Password!156,TX,Carroll Senior High School,Southlake,TX,3.2,2026,Applied Horticulture/Horticulture Operations,,690,680,24,27,27,21,25,,,,,,,,,,1
user157,Password!157,CO,Fairview High School,Boulder,CO,3.4,2024,Asian Studies/Civilization,,690,540,27,20,23,27,24,,,,,,,,,,2
user158,Password!158,MS,The Mississippi School for Mathematics and Science,Columbus,MS,3.4,2025,Gerontology,,690,710,27,24,25,22,25,,,,,,,,,,1
